#wavelength response
27 0.0000000000
30 0.0100000000
33 0.0360000000
36 0.0680000000
39 0.1740000000
42 0.3150000000
45 0.4830000000
48 0.5850000000
51 0.6580000000
54 0.7160000000
57 0.8240000000
60 0.9150000000
63 0.9870000000
66 0.9900000000
69 1.0000000000
72 0.9460000000
75 0.7130000000
78 0.5310000000
81 0.1740000000
84 0.0470000000
87 0.0000000000
