# The bandpass is created by SGJY at KIAA-PKU on 2018-05-05 14:56:04.098818.
# The bandpass is for Herschel/SPIRE 250 micron of extended source. 
# The wavelength is in the units micron.
# Wavelength  RSR
1.666667e+02 1.911600e-04
1.669449e+02 1.489600e-04
1.672241e+02 1.064800e-04
1.674761e+02 6.166400e-05
1.694341e+02 4.137600e-05
1.697217e+02 1.071900e-04
1.699813e+02 1.748500e-04
1.702707e+02 2.429500e-04
1.705611e+02 2.477300e-04
1.708526e+02 2.466600e-04
1.711450e+02 2.522700e-04
1.714090e+02 2.707300e-04
1.717033e+02 2.893900e-04
1.719986e+02 3.542100e-04
1.722950e+02 4.337200e-04
1.725625e+02 4.843400e-04
1.728608e+02 4.090600e-04
1.731602e+02 3.331900e-04
1.734605e+02 2.491000e-04
1.737620e+02 1.595100e-04
1.740341e+02 7.251600e-05
1.743375e+02 6.901200e-05
1.746420e+02 6.554500e-05
1.749475e+02 8.084700e-05
1.752541e+02 1.182800e-04
1.755310e+02 1.559200e-04
1.758396e+02 1.313700e-04
1.761494e+02 9.858400e-05
1.764602e+02 6.929100e-05
1.767409e+02 4.791800e-05
1.770538e+02 2.645000e-05
1.773679e+02 1.306100e-04
1.776830e+02 2.810200e-04
1.779993e+02 4.142800e-04
1.782849e+02 4.526800e-04
1.786033e+02 4.914400e-04
1.789229e+02 3.828400e-04
1.792436e+02 1.678800e-04
1.805054e+02 8.089600e-05
1.808318e+02 3.792000e-04
1.811266e+02 6.793500e-04
1.814553e+02 7.591500e-04
1.817851e+02 8.027700e-04
1.821162e+02 7.817800e-04
1.824485e+02 5.938200e-04
1.827485e+02 4.046200e-04
1.830831e+02 3.930500e-04
1.834189e+02 4.561800e-04
1.837560e+02 5.275700e-04
1.840943e+02 6.513000e-04
1.843998e+02 7.755800e-04
1.847404e+02 9.127600e-04
1.850824e+02 1.059400e-03
1.854255e+02 1.207900e-03
1.857355e+02 1.423000e-03
1.860811e+02 1.641700e-03
1.864280e+02 1.748800e-03
1.867762e+02 1.688400e-03
1.871258e+02 1.627700e-03
1.874414e+02 1.540500e-03
1.877934e+02 1.446700e-03
1.881467e+02 1.408400e-03
1.885014e+02 1.535300e-03
1.888574e+02 1.662300e-03
1.891790e+02 1.777100e-03
1.895375e+02 1.886000e-03
1.898975e+02 1.981600e-03
1.902587e+02 1.946700e-03
1.905851e+02 1.910700e-03
1.909490e+02 1.836800e-03
1.913143e+02 1.727000e-03
1.916810e+02 1.616300e-03
1.920492e+02 1.786600e-03
1.923817e+02 1.973600e-03
1.927525e+02 2.200100e-03
1.931248e+02 2.493000e-03
1.934984e+02 2.787300e-03
1.938360e+02 2.973500e-03
1.942125e+02 3.134300e-03
1.945904e+02 3.321300e-03
1.949698e+02 3.600600e-03
1.953507e+02 3.881200e-03
1.956947e+02 4.321000e-03
1.960784e+02 4.851300e-03
1.964637e+02 5.371400e-03
1.968504e+02 5.699100e-03
1.972387e+02 6.030200e-03
1.975894e+02 6.448300e-03
1.979806e+02 6.961700e-03
1.983733e+02 7.478200e-03
1.987676e+02 8.319600e-03
1.991239e+02 9.199100e-03
1.995212e+02 1.016300e-02
1.999200e+02 1.128200e-02
2.003205e+02 1.241900e-02
2.007226e+02 1.402900e-02
2.010859e+02 1.578800e-02
2.014910e+02 1.772600e-02
2.018978e+02 2.032500e-02
2.023063e+02 2.295400e-02
2.027164e+02 2.596000e-02
2.030869e+02 2.920000e-02
2.035002e+02 3.255200e-02
2.039152e+02 3.773200e-02
2.043318e+02 4.295300e-02
2.047083e+02 4.894000e-02
2.051282e+02 5.582500e-02
2.055498e+02 6.277500e-02
2.059732e+02 7.248400e-02
2.063983e+02 8.258800e-02
2.067825e+02 9.444600e-02
2.072109e+02 1.099700e-01
2.076412e+02 1.256100e-01
2.080732e+02 1.424600e-01
2.085071e+02 1.599000e-01
2.088991e+02 1.770400e-01
2.093364e+02 1.929500e-01
2.097755e+02 2.090900e-01
2.102165e+02 2.274500e-01
2.106150e+02 2.473200e-01
2.110595e+02 2.675500e-01
2.115059e+02 2.927400e-01
2.119542e+02 3.181400e-01
2.124044e+02 3.407800e-01
2.128112e+02 3.596300e-01
2.132651e+02 3.786900e-01
2.137209e+02 3.858700e-01
2.141786e+02 3.911100e-01
2.146383e+02 3.967800e-01
2.150538e+02 4.033700e-01
2.155172e+02 4.100900e-01
2.159827e+02 4.175300e-01
2.164502e+02 4.253200e-01
2.168727e+02 4.327000e-01
2.173441e+02 4.385800e-01
2.178175e+02 4.445000e-01
2.182929e+02 4.485000e-01
2.187705e+02 4.510600e-01
2.192021e+02 4.533400e-01
2.196837e+02 4.627900e-01
2.201673e+02 4.723200e-01
2.206531e+02 4.786200e-01
2.210922e+02 4.797200e-01
2.215821e+02 4.810400e-01
2.220742e+02 4.798200e-01
2.225684e+02 4.780800e-01
2.230649e+02 4.770400e-01
2.235136e+02 4.783400e-01
2.240143e+02 4.797700e-01
2.245173e+02 4.930400e-01
2.250225e+02 5.120500e-01
2.255300e+02 5.303000e-01
2.259887e+02 5.411900e-01
2.265006e+02 5.525200e-01
2.270148e+02 5.555700e-01
2.275313e+02 5.513800e-01
2.279982e+02 5.468900e-01
2.285192e+02 5.472400e-01
2.290426e+02 5.479200e-01
2.295684e+02 5.557600e-01
2.300966e+02 5.756600e-01
2.305741e+02 5.954700e-01
2.311070e+02 6.100000e-01
2.316423e+02 6.232200e-01
2.321802e+02 6.349000e-01
2.327205e+02 6.406400e-01
2.332090e+02 6.461400e-01
2.337541e+02 6.500600e-01
2.343018e+02 6.530000e-01
2.348520e+02 6.564100e-01
2.353495e+02 6.646700e-01
2.359047e+02 6.734300e-01
2.364625e+02 6.763900e-01
2.370230e+02 6.734600e-01
2.375861e+02 6.706200e-01
2.380952e+02 6.732600e-01
2.386635e+02 6.768300e-01
2.392345e+02 6.847900e-01
2.398082e+02 7.013500e-01
2.403846e+02 7.179400e-01
2.409058e+02 7.327800e-01
2.414876e+02 7.476200e-01
2.420721e+02 7.575200e-01
2.426595e+02 7.467600e-01
2.431907e+02 7.355300e-01
2.437835e+02 7.262700e-01
2.443793e+02 7.180100e-01
2.449779e+02 7.106500e-01
2.455796e+02 7.225900e-01
2.461235e+02 7.342900e-01
2.467308e+02 7.500800e-01
2.473411e+02 7.700600e-01
2.479544e+02 7.902200e-01
2.485707e+02 7.907200e-01
2.491281e+02 7.885100e-01
2.497502e+02 7.850000e-01
2.503756e+02 7.778300e-01
2.510040e+02 7.705800e-01
2.515723e+02 7.758900e-01
2.522068e+02 7.862300e-01
2.528445e+02 7.965400e-01
2.534854e+02 8.073300e-01
2.541296e+02 8.182300e-01
2.547122e+02 8.255900e-01
2.553626e+02 8.314300e-01
2.560164e+02 8.374500e-01
2.566735e+02 8.511200e-01
2.573340e+02 8.649200e-01
2.579314e+02 8.785300e-01
2.585984e+02 8.928700e-01
2.592689e+02 9.073400e-01
2.599428e+02 9.039800e-01
2.605524e+02 8.973200e-01
2.612330e+02 8.896400e-01
2.619172e+02 8.781900e-01
2.626050e+02 8.666100e-01
2.632965e+02 8.770400e-01
2.639219e+02 8.958500e-01
2.646203e+02 9.173300e-01
2.653224e+02 9.564400e-01
2.660282e+02 9.877800e-01
2.666667e+02 1.000000e+00
2.673797e+02 9.941600e-01
2.680965e+02 9.753600e-01
2.688172e+02 9.454700e-01
2.695418e+02 9.234800e-01
2.701972e+02 9.185000e-01
2.709293e+02 9.132000e-01
2.716653e+02 9.350500e-01
2.724053e+02 9.566600e-01
2.731494e+02 9.674300e-01
2.738226e+02 9.825500e-01
2.745744e+02 9.867100e-01
2.753304e+02 9.795000e-01
2.760906e+02 9.629300e-01
2.767783e+02 9.516300e-01
2.775465e+02 9.497800e-01
2.783189e+02 9.534800e-01
2.790957e+02 9.395500e-01
2.798768e+02 9.299700e-01
2.805836e+02 9.155300e-01
2.813731e+02 8.900200e-01
2.821670e+02 8.558400e-01
2.829655e+02 8.344600e-01
2.837684e+02 7.798000e-01
2.844950e+02 7.748000e-01
2.853067e+02 8.310500e-01
2.861230e+02 7.627700e-01
2.869441e+02 7.741100e-01
2.876870e+02 7.399300e-01
2.885170e+02 6.864000e-01
2.893519e+02 6.120600e-01
2.901915e+02 5.398000e-01
2.910361e+02 4.565500e-01
2.918004e+02 3.856200e-01
2.926544e+02 3.225900e-01
2.935134e+02 2.634200e-01
2.943774e+02 1.520600e-01
2.952465e+02 6.904200e-02
2.960332e+02 3.808200e-02
2.969121e+02 2.299600e-02
2.977963e+02 1.435900e-02
2.986858e+02 9.319600e-03
2.994909e+02 7.623400e-03
3.003905e+02 6.432900e-03
3.012956e+02 5.858200e-03
