#wavelength response
65 0.0000000000
70 0.0100000000
75 0.1130000000
80 0.3060000000
85 0.5050000000
90 0.6950000000
95 0.8240000000
100 0.9470000000
105 0.9390000000
110 1.0000000000
115 0.6310000000
120 0.3190000000
125 0.1950000000
130 0.1060000000
135 0.0530000000
140 0.0100000000
145 0.0000000000
