#   wa_calc,   carbon,     silicate,     factor
     0.091   2.8112-143   2.3039-294   2.8112-143
     0.275   2.8293E-25   5.5194E-28   2.8348E-25
     0.278   3.3895E-25   6.5730E-28   3.3961E-25
     0.281   4.0583E-25   7.8064E-28   4.0661E-25
     0.285   4.8556E-25   9.2464E-28   4.8649E-25
     0.288   5.8046E-25   1.0927E-27   5.8155E-25
     0.291   6.9322E-25   1.2880E-27   6.9451E-25
     0.295   8.2698E-25   1.5145E-27   8.2850E-25
     0.298   9.8537E-25   1.7764E-27   9.8715E-25
     0.302   1.1726E-24   2.0786E-27   1.1747E-24
     0.305   1.3816E-24   2.4263E-27   1.3840E-24
     0.309   1.6148E-24   2.8254E-27   1.6176E-24
     0.312   1.8809E-24   3.2824E-27   1.8842E-24
     0.316   2.1829E-24   3.8045E-27   2.1867E-24
     0.320   2.5235E-24   4.3996E-27   2.5279E-24
     0.324   2.9049E-24   5.0763E-27   2.9099E-24
     0.327   3.3278E-24   5.8444E-27   3.3336E-24
     0.331   3.7910E-24   6.7146E-27   3.7977E-24
     0.335   4.2896E-24   7.6974E-27   4.2973E-24
     0.339   4.8132E-24   8.8050E-27   4.8220E-24
     0.343   5.3434E-24   1.0050E-26   5.3534E-24
     0.347   5.8524E-24   1.1446E-26   5.8638E-24
     0.351   6.3074E-24   1.3008E-26   6.3204E-24
     0.355   6.6875E-24   1.4753E-26   6.7023E-24
     0.359   7.0103E-24   1.6698E-26   7.0270E-24
     0.363   7.3396E-24   1.8861E-26   7.3585E-24
     0.368   7.7552E-24   2.1267E-26   7.7764E-24
     0.372   8.3166E-24   2.3936E-26   8.3405E-24
     0.376   9.0529E-24   2.6890E-26   9.0798E-24
     0.381   9.9690E-24   3.0153E-26   9.9991E-24
     0.385   1.1050E-23   3.3746E-26   1.1084E-23
     0.390   1.2262E-23   3.7696E-26   1.2300E-23
     0.394   1.3555E-23   4.2030E-26   1.3597E-23
     0.399   1.4860E-23   4.6777E-26   1.4907E-23
     0.403   1.6090E-23   5.1966E-26   1.6142E-23
     0.408   1.7128E-23   5.7628E-26   1.7185E-23
     0.413   1.7824E-23   6.3794E-26   1.7888E-23
     0.418   1.8032E-23   7.0497E-26   1.8102E-23
     0.423   1.7683E-23   7.7771E-26   1.7760E-23
     0.428   1.6867E-23   8.5650E-26   1.6953E-23
     0.433   1.5825E-23   9.4170E-26   1.5919E-23
     0.438   1.4809E-23   1.0337E-25   1.4912E-23
     0.443   1.3968E-23   1.1331E-25   1.4082E-23
     0.448   1.3334E-23   1.2401E-25   1.3458E-23
     0.453   1.2859E-23   1.3552E-25   1.2995E-23
     0.458   1.2464E-23   1.4786E-25   1.2612E-23
     0.464   1.2069E-23   1.6109E-25   1.2230E-23
     0.469   1.1624E-23   1.7524E-25   1.1799E-23
     0.475   1.1137E-23   1.9034E-25   1.1328E-23
     0.480   1.0661E-23   2.0645E-25   1.0868E-23
     0.486   1.0250E-23   2.2360E-25   1.0474E-23
     0.492   9.9305E-24   2.4181E-25   1.0172E-23
     0.497   9.7020E-24   2.6114E-25   9.9631E-24
     0.503   9.5515E-24   2.8163E-25   9.8331E-24
     0.509   9.4675E-24   3.0331E-25   9.7708E-24
     0.515   9.4478E-24   3.2622E-25   9.7740E-24
     0.521   9.4950E-24   3.5040E-25   9.8454E-24
     0.527   9.6050E-24   3.7588E-25   9.9809E-24
     0.533   9.7611E-24   4.0269E-25   1.0164E-23
